cd_orgao,nr_licitacao,ano_licitacao,nr_contrato,ano_contrato,nr_item,qt_itens_contrato,vl_item_contrato,vl_total_item_contrato
55700,10,2017,92,2017,31,28.5,1.5,42.75
55700,10,2017,92,2017,33,125,1,125
55700,10,2017,92,2017,34,66.5,2.56,170.24
55700,10,2017,92,2017,38,84,3,252
55700,10,2017,96,2017,45,1600,2.89,4624
55700,10,2017,96,2017,46,5000,2.6,13000
55700,10,2017,100,2017,6,76,2,152
55700,10,2017,100,2017,8,307,2.04,626.28
55700,10,2017,100,2017,9,150,2.11,316.5
55700,10,2017,100,2017,12,54,3.26,176.04
55700,10,2017,100,2017,18,25,3.57,89.25
55700,10,2017,100,2017,20,50,1.12,56
55700,10,2017,100,2017,21,30,1.62,48.6
55700,10,2017,100,2017,22,5,9.83,49.15
55700,10,2017,100,2017,23,11.5,8,92
55700,10,2017,100,2017,25,21,7,147
55700,10,2017,78,2017,3,27.5,5,137.5
55700,10,2017,78,2017,5,80,1.5,120
55700,10,2017,78,2017,6,77,2,154
55700,10,2017,78,2017,7,86,5.56,478.16
55700,10,2017,78,2017,8,308,2.04,628.32
55700,10,2017,78,2017,9,150,2.11,316.5
55700,10,2017,78,2017,10,73,4.59,335.07
55700,10,2017,78,2017,11,89,1.2,106.8
55700,10,2017,78,2017,12,53,3.26,172.78
55700,10,2017,78,2017,15,56,2.5,140
55700,10,2017,78,2017,16,58,1.5,87
55700,10,2017,78,2017,18,25,3.57,89.25
55700,10,2017,78,2017,21,30,1.62,48.6
55700,10,2017,78,2017,23,11.5,8,92
55700,10,2017,78,2017,25,21,7,147
55700,10,2017,78,2017,28,40,1.5,60
88029,3,2017,56,2017,1,24,4.05,97.2
88029,3,2017,56,2017,2,70,30,2100
55700,10,2017,69,2017,4,17,21,357
55700,10,2017,69,2017,6,77,2,154
55700,10,2017,69,2017,8,307,2.04,626.28
55700,10,2017,69,2017,9,150,2.11,316.5
55700,10,2017,69,2017,10,73,4.59,335.07
55700,10,2017,69,2017,12,54,3.26,176.04
55700,10,2017,69,2017,16,58,1.5,87
55700,10,2017,69,2017,17,50,1.5,75
55700,10,2017,69,2017,18,25,3.57,89.25
55700,10,2017,69,2017,20,50,1.12,56
55700,10,2017,69,2017,21,30,1.62,48.6
55700,10,2017,69,2017,22,5,9.83,49.15
55700,10,2017,69,2017,23,11.5,8,92
55700,10,2017,69,2017,28,40,1.5,60
55700,10,2017,69,2017,29,40,1.5,60
55700,10,2017,69,2017,32,34,3.5,119
55700,10,2017,69,2017,33,125,1,125
55700,10,2017,69,2017,38,84,3,252
51000,3,2017,46,2017,1,64,11.37,727.68
51000,3,2017,46,2017,9,12,7.8,93.6
51000,3,2017,46,2017,11,140,1.8,252
51000,3,2017,46,2017,16,145,3.26,472.7
51000,3,2017,46,2017,17,15,9.8,147
51000,3,2017,46,2017,18,64,2.33,149.12
51000,3,2017,46,2017,20,4,11.33,45.32
55700,10,2017,72,2017,45,1600,2.89,4624
55700,10,2017,72,2017,46,5000,2.6,13000
49400,1,2017,19,2017,14,260,5.25,1365
84800,1,2017,33,2017,3,340,2.5,850
84800,1,2017,33,2017,10,525,2.8,1470
84800,1,2017,33,2017,11,350,2.5,875
55700,10,2017,97,2017,3,27.5,5,137.5
55700,10,2017,97,2017,4,16,21,336
55700,10,2017,97,2017,5,80,1.5,120
55700,10,2017,97,2017,6,77,2,154
55700,10,2017,97,2017,7,85,5.56,472.6
55700,10,2017,97,2017,8,308,2.04,628.32
55700,10,2017,97,2017,9,150,2.11,316.5
