id_estado,cd_orgao,nr_lote,nr_licitacao,ano_licitacao,nr_contrato,ano_contrato,nr_item,qt_itens_contrato,vl_item_contrato,vl_total_item_contrato
43,77000,1,2,2017,132,2017,2,60,2.5,150
43,77000,1,2,2017,132,2017,3,7,20,140
43,77000,1,2,2017,132,2017,4,90,2.5,225
43,77000,1,2,2017,132,2017,12,75,1,75
43,77000,1,2,2017,132,2017,15,65,1.3,84.5
43,55700,1,10,2017,83,2017,37,1500,2,3000
43,55700,1,10,2017,86,2017,16,58,1.5,87
43,55700,1,10,2017,86,2017,18,25,3.57,89.25
43,55700,1,10,2017,86,2017,21,30,1.62,48.6
43,55700,1,10,2017,86,2017,22,5,9.83,49.15
43,55700,1,10,2017,86,2017,23,11.5,8,92
43,55700,1,10,2017,86,2017,25,22,7,154
43,55700,1,10,2017,89,2017,23,11.5,8,92
43,55700,1,10,2017,89,2017,25,21,7,147
43,55700,1,10,2017,89,2017,29,40,1.5,60
43,55700,1,10,2017,89,2017,30,87.5,1,87.5
