cnpj_cei,razao_social,natureza_juridica,cnae_2_0_classe_2,cep_estab,porte_estabelecimento,tamanho_estabelecimento,qtd_vinculos_ativos,nome_socio,qualificacao_socio,munic_contrato_vigente,munic_contrato_expirado
22.469.865/0001-34,CENTRAL DE COOP DA AGRICULTURA FAMILIAR UNICENTRAL ,Cooperativa,Atividades de Apoio,97010-970,Outros,0 Empregado,0,"Alcione Piasentin Claro                                                                                                                                      , Cassio Benito Baptista                                                                                                                                       , Charleston Wilson De Vargas Lourenco                                                                                                                         , Daguimar Zibicoski Reolon                                                                                                                                    , Luciane Lisete Friedrich Wilhelm                                                                                                                             ","Presidente, Diretor, Diretor, Diretor, Diretor","Santa Maria, São Vicente do Sul",Santa Maria
94.480.217/0001-90,COOP MISTA E DE TRABALHO ALTERNATIVA LTD           ,Cooperativa,Atividades Associati,99010-102,Outros,0 Empregado,0,"Luiz Costella                                                                                                                                                , Maristella Finatto Ferro                                                                                                                                     ","Diretor, Presidente",Passo Fundo,
89.982.268/0002-60,COOPERATIVA TRITICOLA FREDERICO WESTPHALEN LTDA    ,Cooperativa,Com�rcio Varejista d,98400-000,Outros,De 50 a 99,52,,,Boa Vista das Missões,Boa Vista das Missões
16.741.146/0001-28,COOP PROD AGROINDUSTRIAL FAMILIAR CENTRAL COM DE HOR,Cooperativa,Com�rcio Varejista d,98920-000,Outros,De 1 a 4,2,"Claudir Sergio Halmann                                                                                                                                       , Elcio Rosano Mohr                                                                                                                                            , Erci Pinto Vieira                                                                                                                                            , Fabio Luis Rosch                                                                                                                                             , Ilson Pilz                                                                                                                                                   , Lotario Hubner                                                                                                                                               , Olair Schuh                                                                                                                                                  , Silmara Pazini Rutzen                                                                                                                                        ","Diretor, Diretor, Diretor, Presidente, Diretor, Diretor, Diretor, Diretor",Três de Maio,Três de Maio
09.406.013/0001-30,ERNESTO ZAMBENEDETTI E CIA LTDA   ME               ,Sociedade Qt Ltda,Com�rcio Varejista d,99580-000,Microempresa,De 1 a 4,4,"Ernesto Zambenedetti                                                                                                                                         , Luciano Zambenedetti                                                                                                                                         , Marilei Escher Zambenedetti                                                                                                                                  ","Sócio, Sócio-Administrador, Sócio-Administrador",Nova Boa Vista,Nova Boa Vista
05.371.648/0001-98,BALDUINO TOLOTTI                                   ,Firma Mercantil Indi,Fabrica��o de Sucos,99585-000,Microempresa,0 Empregado,0,,,"Nova Boa Vista, Novo Barreiro, Barra Funda","Barra Funda, Novo Barreiro, Nova Boa Vista"
,,,,NA-NA,,,,"Rodrigo Loro Trevisol                                                                                                                                        , Valmi Joao Giuliani                                                                                                                                          ","Diretor, Presidente",São Sepé,
21.146.580/0001-08,MAXXI CONSULTAS MEDICAS LTDA EPP                   ,Sociedade Qt Ltda,Atividades de Aten��,92010-300,Pequeno Porte,0 Empregado,0,"Bruno Palaver Dall Ago                                                                                                                                       , Vanderlei Jose Warnava                                                                                                                                       ","Sócio-Administrador, Sócio-Administrador",Esteio,
07.882.029/0001-93,COOPERATIVA AGRIC FAM MARCELINOS RAMOS COCEL LTDA  ,Cooperativa,Com�rcio Atacadista,99800-000,Outros,De 1 a 4,1,"Ademir Antoninho Momo                                                                                                                                        , Jair Antonio Oldoni                                                                                                                                          ","Diretor, Presidente",Marcelino Ramos,
24.672.562/0001-40,JOSE L DE ALMEIDA ME                               ,Firma Mercantil Indi,Atividades de Assist,98460-000,Microempresa,De 5 a 9,9,,,Vista Alegre,
