cnpj_cei,razao_social,natureza_juridica,cnae_2_0_classe_2,cep_estab,porte_estabelecimento,tamanho_estabelecimento,qtd_vinculos_ativos,nome_socio,qualificacao_socio,munic_contrato_vigente,munic_contrato_expirado
10.553.099/0001-02,COOPERATIVA PROD AGRICOLAS IGREJINHA COOPAI        ,Cooperativa,Com�rcio Atacadista,95650-000,Outros,0 Empregado,0,"Ernani Arnoldo Faiffer                                                                                                                                       , Luiz Fernando Carasai                                                                                                                                        ","Presidente, Diretor",Igrejinha,Igrejinha
07.635.210/0001-03,COOPERATIVA REG PRODUTORES ECOLOGISTAS LIT NORTE RS,Cooperativa,Com�rcio Atacadista,95580-000,Outros,De 1 a 4,2,"Juarez Righez                                                                                                                                                , Lenilson Webber Carlos                                                                                                                                       ","Diretor, Presidente","Três Cachoeiras, Maquiné, Xangri-Lá, Arroio do Meio, Garibaldi, Morrinhos do Sul, Caxias do Sul","Xangri-Lá, Caxias do Sul, Morrinhos do Sul, Três Cachoeiras"
09.660.975/0001-10,COOP DOS PRODUTORES VENANCIO AIRES COOP            ,Cooperativa,Atividades de Organi,95800-000,Outros,0 Empregado,0,"Marnei Rubens Becker                                                                                                                                         , Silvia Alexsandra Dos Santos                                                                                                                                 ","Presidente, Diretor",Venâncio Aires,Venâncio Aires
10.568.281/0001-37,COOPERATIVA DOS TRABALHADORES DA REFORMA AGRARIA TER,Cooperativa,Com�rcio Varejista d,92480-000,Outros,De 5 a 9,8,"Arnaldo Soares Borges                                                                                                                                        , Carlos Alberto De Souza                                                                                                                                      , Danilo Alves                                                                                                                                                 , Emerson Jose Giacomelli                                                                                                                                      , Laureci Coradace Leal                                                                                                                                        , Leodimar Antonio Ferreira                                                                                                                                    ","Diretor, Diretor, Diretor, Diretor, Diretor, Presidente","Glorinha, Três de Maio, Osório, Balneário Pinhal, Palmares do Sul, Mostardas, Capão do Leão, Caçapava do Sul, Itaqui","Imbé, Capão do Leão, Balneário Pinhal, Pelotas, Mostardas"
00.861.664/0001-45,COOPERATIVA DE PRODUCAO AGROPECUARIA NOVA SANTA RITA,Cooperativa,"Abate de Su�nos, Ave",92480-000,Outros,De 1 a 4,3,"Airton Luiz Rubenich                                                                                                                                         , Julcemir Fernando Marcon                                                                                                                                     , Mauri Joao Marcon                                                                                                                                            , Mirian Manfron                                                                                                                                               , Nilvo Fernando Bosa                                                                                                                                          ","Diretor, Diretor, Diretor, Diretor, Presidente","Glorinha, Cerro Grande do Sul, Balneário Pinhal, Estância Velha","Estância Velha, Esteio, Nova Santa Rita"
89.774.160/0005-25,COOPERATIVA LANGUIRU LTDA                          ,Cooperativa,"Abate de Su�nos, Ave",95893-000,Outros,De 500 a 999,898,,,"Minas do Leão, Vale do Sol, Tabaí, Pantano Grande, Colinas, Putinga, Coqueiro Baixo, Poço das Antas, Encantado, Capitão, Paverama, Jaguarão, dois Lajeados, Vespasiano Corrêa, Relvado, Nova Bréscia, Roca Sales, Marques de Souza, doutor Ricardo, Lajeado, Arroio do Meio, Teutônia, São Jerônimo, Paraíso do Sul, Maratá, General Câmara","Paverama, Coqueiro Baixo, Vale do Sol, Fazenda Vilanova, Lajeado, Minas do Leão, Pantano Grande, Marques de Souza, Morro Redondo, Nova Bréscia, Butiá, Roca Sales, Vespasiano Corrêa, Colinas, Poço das Antas, Muçum, Capitão, Relvado, Tabaí, Maratá, doutor Ricardo, Arroio do Meio"
21.308.597/0001-06,COOPERNOROESTECOOP DE AGRIC FAMILI DO NOROESTE GAUCH,Cooperativa,Com�rcio Varejista d,98910-000,Outros,0 Empregado,0,"Anisia Irena Schast Trevisan                                                                                                                                 , Carla Adriana Grohs Wagentantz                                                                                                                               ","Presidente, Diretor",Três de Maio,Três de Maio
89.774.160/0006-06,COOPERATIVA LANGUIRU LTDA                          ,Cooperativa,Fabrica��o de Latic�,95890-000,Outros,De 100 a 249,199,,,"Minas do Leão, Westfália, Vale do Sol, Tabaí, Pantano Grande, Colinas, Putinga, Barão, Cruzeiro do Sul, Poço das Antas, Encantado, Maratá, Capitão, Paverama, Jaguarão, Vespasiano Corrêa, dois Lajeados, Coqueiro Baixo, Nova Bréscia, Boa Vista do Sul, Relvado, Santa Maria, Lavras do Sul, Roca Sales, Marques de Souza, Lajeado, doutor Ricardo, Fontoura Xavier, Teutônia, Vera Cruz, Progresso, São Jerônimo, Paraíso do Sul, Arroio do Meio, General Câmara, Muçum","Barão, Paverama, Maratá, Nova Bréscia, Fazenda Vilanova, Cruzeiro do Sul, Colinas, Muçum, Minas do Leão, dois Lajeados, Morro Redondo, Marques de Souza, Lajeado, Roca Sales, Westfália, Vespasiano Corrêa, Fontoura Xavier, Capitão, Relvado, Tabaí, Boa Vista do Sul, Progresso, Pantano Grande, doutor Ricardo, Arroio do Meio, Poço das Antas"
91.022.632/0001-01,COOP AGRIC MISTA NOVA PALMA LTDA                   ,Cooperativa,Com�rcio Atacadista,97250-000,Outros,De 100 a 249,112,"Claudimir Jose Piccin                                                                                                                                        , Euclides Vestena                                                                                                                                             ","Diretor, Presidente","Jaguari, Santa Maria, Santa Bárbara do Sul, Caçapava do Sul, Igrejinha, Ijuí, Nova Palma, Flores da Cunha, Vera Cruz, São Sepé, Faxinal do Soturno, Caxias do Sul, Pelotas, Rio Grande, Itaqui",
88.587.357/0001-69,COOPERATIVA SANTA CLARA LTDA                       ,Cooperativa,Servi�os Combinados,95185-000,Outros,De 100 a 249,102,"Alexandre Guerra                                                                                                                                             , Rogerio Bruno Sauthier                                                                                                                                       ","Diretor, Presidente","Coronel Pilar, Paraí","Coronel Pilar, Muçum"
12.267.460/0001-60,COOPERATIVA REGIONAL DA AGRICULTURA FAMILIAR DE GETU,Cooperativa,Com�rcio Atacadista,99900-000,Outros,0 Empregado,0,"Gilmar Centenaro                                                                                                                                             , Lucimar Giaretta Vitali                                                                                                                                      ","Diretor, Presidente","Estação, Sertão, Floriano Peixoto","Floriano Peixoto, Charrua, Estação"
91.360.420/0001-34,COOP SUINOCULTORES DO CAI SUPERIOR LTDA            ,Cooperativa,"Abate de Su�nos, Ave",95785-000,Outros,De 250 a 499,397,"Celso Jose Neis                                                                                                                                              , Inacio Francisco Loff                                                                                                                                        ","Presidente, Diretor","Santa Maria, Capão do Leão, Palmares do Sul, Mostardas, Garibaldi, Rio Grande, Caçapava do Sul","Capão do Leão, Harmonia, Santa Maria, Lajeado, Mostardas"
89.774.160/0013-35,COOPERATIVA LANGUIRU LTDA                          ,Cooperativa,"Abate de Su�nos, Ave",95740-000,Outros,De 500 a 999,745,,,"Westfália, Vale do Sol, Pantano Grande, Putinga, Poço das Antas, Maratá, Encantado, Capitão, dois Lajeados, Coqueiro Baixo, Progresso, General Câmara","Paverama, Coqueiro Baixo, Vespasiano Corrêa, Progresso, Poço das Antas, Boa Vista do Sul, dois Lajeados, Maratá, Capitão"
08.546.254/0001-11,COOP PROD E DESENV RURAL DOS AGRIC FAMIL           ,Cooperativa,Com�rcio Atacadista,97015-001,Outros,De 5 a 9,5,"Alcione Piasentin Claro                                                                                                                                      , Elen De Fatima Dos Santos Diniz                                                                                                                              , Fernando Dos Santos Lima                                                                                                                                     , Josemar Brutti                                                                                                                                               , Maria Elena Frigo Cerdote Machado                                                                                                                            , Matias Weber                                                                                                                                                 ","Diretor, Diretor, Presidente, Diretor, Diretor, Diretor","Santa Maria, São Vicente do Sul",Santa Maria
12.309.267/0001-44,VINICOLA PALUDO LTDA EPP                           ,Sociedade Qt Ltda,Cultivo de Uva,95923-000,Pequeno Porte,0 Empregado,0,"Ernestina Paludo                                                                                                                                             , Leandro Henrique Paludo                                                                                                                                      , Marciano Paludo                                                                                                                                              , Marines Lurdes Gerhardt                                                                                                                                      , Martinho Paludo                                                                                                                                              , Mateus De Oliveira Paludo                                                                                                                                    ","Sócio, Sócio, Sócio-Administrador, Sócio, Sócio, Sócio","Westfália, Encantado, Poço das Antas, Marques de Souza, Roca Sales, Capitão, Progresso, Rio Grande, Muçum","Lajeado, Progresso, Muçum, Marques de Souza, Westfália, Capitão"
21.853.581/0001-84,HERBON AGROINDUSTRIA LTDA   EPP                   ,Firma Mercantil Indi,Fabrica��o de Produt,95748-000,Microempresa,De 10 a 19,14,"Aline Gauer                                                                                                                                                  , Egon Jose Herbert                                                                                                                                            , Joao Guilherme Gauer                                                                                                                                         ","Sócio-Administrador, Sócio, Sócio","Vale Real, Salvador do Sul, São José do Sul, Estância Velha, Garibaldi, São José do Hortêncio","São José do Hortêncio, Vale Real, São José do Sul, Estância Velha, Salvador do Sul"
73.273.526/0001-19,COOP DE PEQUENOS AGROPECUARISTAS DE ERVAL GRANDE LTD,Cooperativa,Com�rcio Atacadista,99750-000,Outros,De 10 a 19,18,"Jaci Agustinho Auziliero                                                                                                                                     , Jandir Buratti                                                                                                                                               ","Presidente, Diretor","Taquara, São Valentim","Benjamin Constant do Sul, São Valentim"
88.587.357/0002-40,COOPERATIVA SANTA CLARA LTDA                       ,Cooperativa,Fabrica��o de Latic�,95185-000,Outros,De 250 a 499,423,,,Vale Real,Vale Real
88.587.357/0066-04,COOPERATIVA SANTA CLARA LTDA                       ,Cooperativa,Com�rcio Atacadista,95185-000,Outros,De 20 a 49,29,,,"Salvador do Sul, Santa Bárbara do Sul, Santo Augusto, Ijuí, Veranópolis, Barão, São Pedro da Serra, Nova Bréscia, Carlos Barbosa, Erval Seco, Balneário Pinhal, São Vendelino, Caçapava do Sul, Arroio do Meio, Crissiumal, Garibaldi, Pelotas, Canela, Serafina Corrêa, Boa Vista do Incra","Água Santa, Morro Redondo, Pelotas, Casca, Santa Bárbara do Sul, Vale do Sol, São Vendelino, Seberi, Nova Bréscia, Salvador do Sul, São Pedro da Serra, Lavras do Sul, Santo Augusto, Ajuricaba, Canela, Putinga, Erval Seco, Crissiumal"
12.109.796/0001-02,ATAF                                               ,Outras Organiza��es,Atividades de Organi,95600-000,Microempresa,0 Empregado,0,Isequiel Manoel Gress                                                                                                                                        ,Presidente,Taquara,"Parobé, Taquara"
04.901.469/0001-52,"ECOVALE, COOPERATIVA REGIONAL DE AGRICULTORES FAMILI",Cooperativa,Com�rcio Varejista d,96810-090,Outros,De 1 a 4,2,"Adriano Vanderlei Kern                                                                                                                                       , Anderson Rodrigo Richter                                                                                                                                     , Dirceu Batista Weber                                                                                                                                         , Enio Diemer                                                                                                                                                  , Evandro Da Rosa Silveira                                                                                                                                     , Ilio Schiefferdecker                                                                                                                                         , Ilsidonia Flesch                                                                                                                                             , Laercio Andre Frantz                                                                                                                                         , Lori Maria Stulp Weber                                                                                                                                       , Mariane Ines Sehn                                                                                                                                            , Noemia Gass Parnow                                                                                                                                           , Noemia Jager                                                                                                                                                 , Paulo Sergio Padilha                                                                                                                                         , Roque Finkler                                                                                                                                                , Sinelio Arendt                                                                                                                                               , Teresinha Weber                                                                                                                                              ","Diretor, Diretor, Diretor, Diretor, Diretor, Diretor, Diretor, Diretor, Presidente, Diretor, Diretor, Diretor, Diretor, Diretor, Diretor, Diretor",Vale do Sol,Vale do Sol
15.388.008/0001-44,CECAFES COOPERATIVA CENTRAL DE COMERCIALIZACAO DA AG,Cooperativa,Atividades de Associ,99709-370,Outros,De 5 a 9,7,"Gelso Bissolotti                                                                                                                                             , Roberto Luis Balen                                                                                                                                           ","Diretor, Diretor","Ponte Preta, Jacutinga, Jaquirana, Passo Fundo, Capão Bonito do Sul, Marau, Muliterno, Marcelino Ramos, Ciríaco, Campinas do Sul, Palmares do Sul, Osório, Santa Maria, Benjamin Constant do Sul, Aratiba","Floriano Peixoto, Erechim, Marau, Marcelino Ramos, Centenário, Aratiba, Santa Maria, Jacutinga, Benjamin Constant do Sul, Ciríaco, Ponte Preta, Campinas do Sul, Tio Hugo"
13.546.912/0001-05,COOP LEOBOQUEIRENSE DE AGRICULTORES FAMILIARES     ,Cooperativa,Produ��o Florestal -,95920-000,Outros,0 Empregado,0,"Joao Alderi Camara                                                                                                                                           , Leandro Peterson                                                                                                                                             , Maria Goreti Ogliari                                                                                                                                         , Rosane Fatima Chemin                                                                                                                                         , Silvio Montineli                                                                                                                                             ","Diretor, Presidente, Diretor, Diretor, Diretor",Boqueirão do Leão,"Sério, Boqueirão do Leão"
,,,,NA-NA,,,,,,"Santo Augusto, Palmitinho, Três de Maio, Seberi, Augusto Pestana, Ajuricaba, Inhacorá, Crissiumal, São Valério do Sul","Ajuricaba, Augusto Pestana, Santo Augusto, Palmitinho, São Valério do Sul, Inhacorá, Crissiumal, São Martinho"
09.522.322/0001-75,VILSON SAVADINSCKY E CIA LTDA - ME                 ,Sociedade Qt Ltda,Com�rcio Varejista d,99470-000,Microempresa,0 Empregado,0,"Erni Savadinscky                                                                                                                                             , Lauri Germano Savadinscky                                                                                                                                    , Vilson Savadinscky                                                                                                                                           ","Sócio, Sócio, Sócio-Administrador",Não-Me-Toque,Não-Me-Toque
11.524.136/0001-17,SOLANGE AULER BINI                                 ,Firma Mercantil Indi,Fabrica��o de Produt,99470-000,Microempresa,0 Empregado,0,,,Não-Me-Toque,Não-Me-Toque
09.399.257/0001-32,COOP AGROP E LATICINIOS PONTAO LTDA              ,Cooperativa,Transporte Rodovi�ri,99190-000,Outros,De 10 a 19,10,"Ari Joao Pilatti                                                                                                                                             , Celso Roncaglio                                                                                                                                              , Darci Jose Antunes Maschio                                                                                                                                   , Enio Borges Dos Santos                                                                                                                                       , Fernando Agostinho Manica                                                                                                                                    , Jandir Antonio Ferreira Bueno                                                                                                                                , Marcelino De Campos Batista                                                                                                                                  ","Diretor, Diretor, Presidente, Diretor, Diretor, Diretor, Diretor","Não-Me-Toque, Passo Fundo, Rondinha, Erval Seco, Trindade do Sul, Gramado dos Loureiros","Marau, Pontão, Rondinha, Trindade do Sul, Não-Me-Toque"
10.696.943/0002-35,COOPERATIVA MISTA YUCUMA                           ,Cooperativa,Com�rcio Varejista d,98528-000,Outros,De 5 a 9,6,,,derrubadas,
07.592.085/0001-93,COOP DE PROD E COM DA AGRIC FAM DE ROQUE GONZALES LT,Cooperativa,Com�rcio Varejista d,97970-000,Outros,De 5 a 9,7,"Elizeu Neubuser Fenner                                                                                                                                       , Vilson Carlos Fenner                                                                                                                                         ","Diretor, Presidente",São Pedro do Butiá,São Pedro do Butiá
09.579.969/0001-33,ANGELO BERGONCI & CIA LTDA ME                      ,Sociedade Qt Ltda,"Abate de Reses, Exce",95920-000,Microempresa,De 1 a 4,1,,,Boqueirão do Leão,Boqueirão do Leão
08.835.220/0001-47,COOPERATIVA DE PRODUTORES DE UVA E DERIVADOS DE AMET,Cooperativa,Fabrica��o de Vinho,98465-000,Outros,De 5 a 9,6,"Edemar Mezzaroba                                                                                                                                             , Elton Mezzaroba                                                                                                                                              , Lucas Fernando Litcoski                                                                                                                                      ","Diretor, Presidente, Diretor","Palmitinho, Planalto, Trindade do Sul, Gramado dos Loureiros, Erval Seco, Pinheirinho do Vale, Seberi","Palmitinho, Planalto, Gramado dos Loureiros, Trindade do Sul"
11.329.990/0001-22,COOP DOS PROD ORGANICOS DE REF AGRARIA             ,Cooperativa,Com�rcio Atacadista,94770-970,Outros,0 Empregado,0,"Carine Marcia Pietroski                                                                                                                                      , Leonildo Zang                                                                                                                                                , Roseli Canzarolli                                                                                                                                            ","Diretor, Diretor, Presidente","Balneário Pinhal, Palmares do Sul, Osório",Balneário Pinhal
,,,,NA-NA,,,,,,"Balneário Pinhal, Barra do Ribeiro, Parobé","Parobé, Glorinha, Cerro Grande do Sul"
10.917.361/0001-50,COOP DE CONS E COM DOS PEQ PROD RURAIS             ,Cooperativa,Atividades de Apoio,95520-000,Outros,De 1 a 4,1,"Cesar Dadda                                                                                                                                                  , Euclides Duarte Barcelos                                                                                                                                     , Juliana Beatriz Pereira                                                                                                                                      , Sandra Regina Da Silva Kauer                                                                                                                                 ","Diretor, Diretor, Diretor, Presidente","Balneário Pinhal, Mostardas, Xangri-Lá, Osório","Xangri-Lá, Capão da Canoa, Capivari do Sul, Balneário Pinhal"
